expnum;duration;num_robots;clever;num_collisions;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;134.305858;45;False;0;0;0;0;0;0;0;0;0;0;0;0;0
2;155.099254;45;False;0;0;0;0;0;1;0;0;0;0;0;1;2
3;159.067074;45;False;0;0;0;0;0;0;0;0;0;0;0;1;1
4;180.383891;45;False;0;0;0;0;0;0;0;0;0;0;0;1;1
5;150.083604;45;False;0;0;0;0;0;1;0;0;0;0;0;2;3
6;130.971241;45;False;0;0;0;0;0;0;0;0;0;0;1;0;1
7;153.023768;45;False;0;0;0;0;0;0;0;0;0;0;0;0;0
8;159.33204;45;False;0;0;0;0;0;0;0;0;0;0;0;1;1
9;163.629006;45;False;0;0;0;0;0;0;0;0;0;0;0;1;1
10;187.948281;45;False;0;0;0;0;0;0;0;0;0;0;0;1;1
11;637.713308;45;True;22;7;4;3;3;3;2;1;3;3;1;3;26
12;595.502176;45;True;19;6;5;3;1;3;4;1;3;1;4;4;29
13;526.669037;45;True;50;18;3;3;3;5;1;0;2;1;3;2;23
14;745.312026;45;True;31;8;5;3;3;2;4;1;3;2;3;3;29
15;615.227195;45;True;23;9;3;3;4;3;3;1;5;2;2;2;28
16;487.085233;45;True;35;16;2;3;1;3;3;1;4;4;4;3;28
17;471.314227;45;True;40;13;5;4;2;3;1;0;3;3;3;3;27
18;493.844746;45;True;26;12;1;3;2;3;3;1;4;2;2;2;23
19;529.89671;45;True;31;8;4;3;4;4;3;1;4;1;4;3;31
20;563.834369;45;True;22;12;4;2;2;3;2;2;5;3;4;3;30
21;161.906526;50;False;2;2;0;0;0;0;0;0;0;1;0;0;1
22;155.140753;50;False;2;2;0;0;0;0;1;0;0;0;0;0;1
23;177.342323;50;False;1;0;0;0;0;0;1;0;0;0;0;0;1
24;173.349098;50;False;1;0;0;0;0;0;1;0;0;0;0;0;1
25;151.881972;50;False;2;2;0;0;0;0;0;0;0;1;0;0;1
26;192.445709;50;False;1;0;0;0;0;0;1;0;0;0;0;0;1
27;149.771632;50;False;3;2;0;0;0;0;1;0;0;0;0;0;1
28;161.570214;50;False;2;2;0;0;0;0;1;0;0;1;0;0;2
29;162.989496;50;False;1;0;0;0;0;0;0;0;0;1;1;0;2
30;163.742653;50;False;1;0;0;0;0;0;1;0;0;2;0;0;3
31;619.205488;50;True;62;16;4;4;5;5;5;3;3;4;4;4;41
32;522.254826;50;True;29;13;4;4;3;2;4;3;5;3;3;4;35
33;550.306332;50;True;15;2;3;3;4;5;4;7;3;4;2;3;38
34;532.715858;50;True;22;5;4;4;3;5;3;1;5;3;3;4;35
35;554.997183;50;True;34;11;2;3;2;5;4;5;3;3;3;3;33
36;552.773226;50;True;52;14;3;3;3;2;4;4;4;4;3;4;34
37;563.206969;50;True;38;14;3;4;3;4;3;4;2;2;5;3;33
38;591.566216;50;True;61;17;3;5;5;4;4;2;3;4;1;3;34
39;617.052495;50;True;45;15;3;4;2;4;3;3;5;3;5;3;35
40;567.102863;50;True;43;19;4;4;3;4;2;5;3;1;3;4;33
41;184.149087;55;False;0;0;0;1;1;0;0;0;0;0;0;1;3
42;214.301956;55;False;0;0;0;0;0;0;0;0;0;0;0;1;1
43;173.378536;55;False;0;0;0;1;0;1;0;0;0;0;0;0;2
44;182.767887;55;False;0;0;0;1;0;0;0;0;0;0;0;1;2
45;188.69327;55;False;0;0;0;1;1;0;0;0;0;0;0;1;3
46;156.812753;55;False;0;0;0;0;1;0;0;0;0;0;0;1;2
47;183.093644;55;False;0;0;0;1;0;0;0;0;1;0;0;1;3
48;187.335727;55;False;0;0;0;1;0;0;0;0;1;0;0;1;3
49;170.229645;55;False;0;0;0;1;1;0;0;0;1;0;0;1;4
50;166.07206;55;False;0;0;0;0;1;1;0;0;0;0;0;0;2
51;644.199363;55;True;29;13;1;5;4;6;5;3;3;5;4;5;41
52;610.204779;55;True;35;9;1;5;5;3;5;4;2;3;2;5;35
